# d=-12 u_star=-98.114729439 m=-1.03363159027 C=1.06839426441
# s  F2_minus_ustar
-0.5247 -0.561370895892
-0.52305 -0.559596367977
-0.5214 -0.557822056637
-0.51975 -0.556047961527
-0.5181 -0.554274082328
-0.51645 -0.552521613678
-0.5148 -0.550746496606
-0.51315 -0.548971579931
-0.5115 -0.547235413463
-0.50985 -0.545518317359
-0.5082 -0.54374020035
-0.50655 -0.541962292075
-0.5049 -0.540184593676
-0.50325 -0.538407105667
-0.5016 -0.536629829135
-0.49995 -0.534923649216
-0.4983 -0.533145367779
-0.49665 -0.531380279443
-0.495 -0.529615976786
-0.49335 -0.527852006257
-0.4917 -0.526088372838
-0.49005 -0.524325086684
-0.4884 -0.522552289674
-0.48675 -0.520772687642
-0.4851 -0.518992902348
-0.48345 -0.517191850027
-0.4818 -0.515429916328
-0.48015 -0.513668451754
-0.4785 -0.511907465087
-0.47685 -0.510146965922
-0.4752 -0.508386964159
-0.47355 -0.506546823532
-0.4719 -0.504784876219
-0.47025 -0.503023412473
-0.4686 -0.501262442513
-0.46695 -0.499501978006
-0.4653 -0.497684510666
-0.46365 -0.495921302961
-0.462 -0.49415862124
-0.46035 -0.492396433572
-0.4587 -0.490634768414
-0.45705 -0.488873639034
-0.4554 -0.48711305904
-0.45375 -0.485353043504
-0.4521 -0.483593607715
-0.45045 -0.481833336429
-0.4488 -0.48007196195
-0.44715 -0.47829751565
-0.4455 -0.476518553761
-0.44385 -0.474704927833
-0.4422 -0.472948749255
-0.44055 -0.471187623399
-0.4389 -0.46942693179
-0.43725 -0.467666685121
-0.4356 -0.465821800235
-0.43395 -0.464058858067
-0.4323 -0.46229629567
-0.43065 -0.460534122687
-0.429 -0.458772349529
-0.42735 -0.457010986487
-0.4257 -0.455250045654
-0.42405 -0.453489539015
-0.4224 -0.451729479684
-0.42075 -0.449969881246
-0.4191 -0.448134007983
-0.41745 -0.44637256528
-0.4158 -0.444611569947
-0.41415 -0.442851037037
-0.4125 -0.441090983153
-0.41085 -0.439331425816
-0.4092 -0.437572383554
-0.40755 -0.435813876734
-0.4059 -0.434055926626
-0.40425 -0.432298556606
-0.4026 -0.430532911286
-0.40095 -0.428753438857
-0.3993 -0.426974096381
-0.39765 -0.425194760991
-0.396 -0.423415671254
-0.39435 -0.421679449141
-0.3927 -0.419924863192
-0.39105 -0.41808003137
-0.3894 -0.41632210727
-0.38775 -0.414564911374
-0.3861 -0.41280848682
-0.38445 -0.411052881557
-0.3828 -0.40929814775
-0.38115 -0.407544342963
-0.3795 -0.405783693907
-0.37785 -0.404001806265
-0.3762 -0.402219837743
-0.37455 -0.400438075121
-0.3729 -0.398656625039
-0.37125 -0.396875525229
-0.3696 -0.39517588067
-0.36795 -0.393391986509
-0.3663 -0.391608084565
-0.36465 -0.389824523764
-0.363 -0.388041364165
-0.36135 -0.386258677618
-0.3597 -0.384476549398
-0.35805 -0.382656262971
-0.3564 -0.380874950611
-0.35475 -0.379094657442
-0.3531 -0.377364022314
-0.35145 -0.375580850318
-0.3498 -0.373856686197
-0.34815 -0.372099003467
-0.3465 -0.370342029975
-0.34485 -0.368585826418
-0.3432 -0.366830462163
-0.34155 -0.365076016595
-0.3399 -0.363322580663
-0.33825 -0.361570154037
-0.3366 -0.359809390429
-0.33495 -0.358040722126
-0.3333 -0.356205666188
-0.33165 -0.35444144823
-0.33 -0.352677296644
-0.32835 -0.350913211233
-0.3267 -0.349149191767
-0.32505 -0.347385237213
-0.3234 -0.345621347724
-0.32175 -0.343857522521
-0.3201 -0.342093761255
-0.31845 -0.340330062882
-0.3168 -0.338566427788
-0.31515 -0.336802855291
-0.3135 -0.335039344231
-0.31185 -0.333275895126
-0.3102 -0.331512506937
-0.30855 -0.329749179387
-0.3069 -0.327985911847
-0.30525 -0.32622270384
-0.3036 -0.324459554951
-0.30195 -0.322619821621
-0.3003 -0.320856710721
-0.29865 -0.319012427359
-0.297 -0.317248555799
-0.29535 -0.315484737162
-0.2937 -0.313720970976
-0.29205 -0.311957256761
-0.2904 -0.310193594231
-0.28875 -0.308429982506
-0.2871 -0.306675949428
-0.28545 -0.30492353403
-0.2838 -0.30317143178
-0.28215 -0.301419608993
-0.2805 -0.29966803744
-0.27885 -0.297916693112
-0.2772 -0.29616555475
-0.27555 -0.294414604205
-0.2739 -0.292595298611
-0.27225 -0.290846748967
-0.2706 -0.289098018456
-0.26895 -0.287342954122
-0.2673 -0.285501812327
-0.26565 -0.283725566457
-0.264 -0.281950557957
-0.26235 -0.280176647187
-0.2607 -0.278403713295
-0.25905 -0.276631651048
-0.2574 -0.274860368788
-0.25575 -0.273089785852
-0.2541 -0.271319831866
-0.25245 -0.269550444395
-0.2508 -0.267781568602
-0.24915 -0.266013155475
-0.2475 -0.264245161481
-0.24585 -0.262477548291
-0.2442 -0.260710280994
-0.24255 -0.258943328705
-0.2409 -0.257176663417
-0.23925 -0.255410260676
-0.2376 -0.253701262189
-0.23595 -0.251937135292
-0.2343 -0.250173215535
-0.23265 -0.248409486045
-0.231 -0.246645931726
-0.22935 -0.244955693076
-0.2277 -0.243192013491
-0.22605 -0.241428471894
-0.2244 -0.239665057549
-0.22275 -0.237901761241
-0.2211 -0.23613857376
-0.21945 -0.234375487532
-0.2178 -0.232612494511
-0.21615 -0.230849588537
