# d=-12.2 u_star=-98.0121900131 m=-1.06901579073 C=1.14279476084
# s  F2_minus_ustar
-1.04115 -1.19625887639
-1.0395 -1.19430782269
-1.03785 -1.19235712662
-1.0362 -1.19040678726
-1.03455 -1.18845680325
-1.0329 -1.18650717389
-1.03125 -1.18455789748
-1.0296 -1.1826089608
-1.02795 -1.18066030913
-1.0263 -1.17871201237
-1.02465 -1.17676406937
-1.023 -1.17481647942
-1.02135 -1.17286924098
-1.0197 -1.17092235265
-1.01805 -1.16891810427
-1.0164 -1.16697311431
-1.01475 -1.16502848328
-1.0131 -1.16308421082
-1.01145 -1.16114029528
-1.0098 -1.15919612219
-1.00815 -1.15725230768
-1.0065 -1.15530887369
-1.00485 -1.15336581933
-1.0032 -1.15142314372
-1.00155 -1.14948084563
-0.9999 -1.14753892411
-0.99825 -1.14559737387
-0.9966 -1.14365619573
-0.99495 -1.14175716832
-0.9933 -1.13981546406
-0.99165 -1.13787413314
-0.99 -1.1359331744
-0.98835 -1.13399258685
-0.9867 -1.13205236967
-0.98505 -1.1301125216
-0.9834 -1.12817304189
-0.98175 -1.12623392944
-0.9801 -1.12429518338
-0.97845 -1.12235680254
-0.9768 -1.12041878606
-0.97515 -1.11848113287
-0.9735 -1.11654582311
-0.97185 -1.11460772886
-0.9702 -1.11267000295
-0.96855 -1.11073264462
-0.9669 -1.10879565297
-0.96525 -1.10685902716
-0.9636 -1.10492276639
-0.96195 -1.10298691669
-0.9603 -1.101051456
-0.95865 -1.09911636875
-0.957 -1.09718165405
-0.95535 -1.09524731114
-0.9537 -1.09331333925
-0.95205 -1.09137973759
-0.9504 -1.08944650529
-0.94875 -1.08751364169
-0.9471 -1.08558114572
-0.94545 -1.08364901699
-0.9438 -1.0817172543
-0.94215 -1.07978585705
-0.9405 -1.07785482426
-0.93885 -1.07592415541
-0.9372 -1.07399384952
-0.93555 -1.07206390586
-0.9339 -1.0701343234
-0.93225 -1.06820510162
-0.9306 -1.06627623943
-0.92895 -1.06434773626
-0.9273 -1.06241959121
-0.92565 -1.0604918034
-0.924 -1.05856437216
-0.92235 -1.05663729654
-0.9207 -1.05471057557
-0.91905 -1.05278420891
-0.9174 -1.05085866612
-0.91575 -1.04893392169
-0.9141 -1.04695666499
-0.91245 -1.04502326002
-0.9108 -1.0430975129
-0.90915 -1.04117215838
-0.9075 -1.0392471952
-0.90585 -1.03732284446
-0.9042 -1.0353990082
-0.90255 -1.03347558511
-0.9009 -1.03155257484
-0.89925 -1.02958062047
-0.8976 -1.02765610683
-0.89595 -1.02573196685
-0.8943 -1.02380819948
-0.89265 -1.02188480401
-0.891 -1.01986643042
-0.88935 -1.01794263802
-0.8877 -1.01601922096
-0.88605 -1.01409617797
-0.8844 -1.01217350904
-0.88275 -1.01025479698
-0.8811 -1.00834306195
-0.87945 -1.00643172515
-0.8778 -1.00452014077
-0.87615 -1.00260873741
-0.8745 -1.00069775134
-0.87285 -0.99878718068
-0.8712 -0.996877025173
-0.86955 -0.994967284101
-0.8679 -0.993057956693
-0.86625 -0.991139274732
-0.8646 -0.989294955259
-0.86295 -0.987370129882
-0.8613 -0.985445688988
-0.85965 -0.983521631558
-0.858 -0.98159795696
-0.85635 -0.979674664529
-0.8547 -0.977751753857
-0.85305 -0.975829224054
-0.8514 -0.973907074959
-0.84975 -0.971985305333
